Generation,Best Fitness,Mean Fitness,Std Dev,Transport Cost,Total y_m
49,200228.79241343366,236941.41036255236,7637.062673403514,198978.79241343366,125
50,200188.24273699347,237208.47810430615,7056.61407489381,198938.24273699347,125
51,199854.4494218764,237116.5684630058,7374.154289762884,198604.4494218764,125
52,199854.4494218764,237505.55140669554,7427.499030922451,198604.4494218764,125
53,198767.08054379985,236928.33078445256,7424.922774644534,197517.08054379985,125
54,197021.9912465029,236852.88013744124,8015.070835084916,195781.9912465029,124
55,197021.9912465029,236856.19869676817,8385.328779884776,195781.9912465029,124
56,196888.99988956825,237532.33957669223,8229.241977207743,195648.99988956825,124
57,196888.99988956825,237429.1336969185,7514.776409905981,195648.99988956825,124
58,196888.99988956825,237111.02269682864,7364.322191613703,195648.99988956825,124
59,196779.74872795545,236368.33961019307,7243.164843047817,195539.74872795545,124
60,196779.74872795545,237879.00632612492,7355.2478939986,195539.74872795545,124
61,196779.74872795545,237686.52181581318,7030.2532492845485,195539.74872795545,124
62,196779.74872795545,237053.1917463177,6988.761231607035,195539.74872795545,124
63,196779.74872795545,237547.90789429974,7289.5202301558875,195539.74872795545,124
64,196779.74872795545,237774.7982070898,6874.685986324062,195539.74872795545,124
65,196779.74872795545,237275.17519429943,6536.162539515542,195539.74872795545,124
66,196779.74872795545,237117.04824625733,7157.932355463493,195539.74872795545,124
67,196779.74872795545,237172.01553584062,7065.853990061963,195539.74872795545,124
68,196779.74872795545,237720.3557684796,7375.956057118521,195539.74872795545,124
69,196779.74872795545,237080.54122563315,7089.538114909129,195539.74872795545,124
70,196779.74872795545,236692.10745420863,7598.231773269322,195539.74872795545,124
71,196319.3890240044,237195.9990752054,7592.866487987683,195079.3890240044,124
72,196319.3890240044,237224.14628636435,7354.768566099934,195079.3890240044,124
73,196319.3890240044,236690.8354272486,7540.976906988383,195079.3890240044,124
74,196319.3890240044,236991.9432793158,7614.263438251122,195079.3890240044,124
75,196319.3890240044,237367.5930144471,8123.6263214063265,195079.3890240044,124
76,196319.3890240044,237632.54325345924,7016.169077380303,195079.3890240044,124
77,196319.3890240044,237379.69350454968,6986.086050277419,195079.3890240044,124
78,196319.3890240044,237246.17410098301,7130.126245818048,195079.3890240044,124
79,196319.3890240044,237229.53079153973,7514.944512197453,195079.3890240044,124
80,196319.3890240044,237455.77552194567,7474.969414661345,195079.3890240044,124
81,196319.3890240044,236859.40856996804,7525.051132998914,195079.3890240044,124
82,196319.3890240044,237193.43898593774,7473.35568103851,195079.3890240044,124
83,196040.85653406254,236474.6032001819,7823.527366876592,194790.85653406254,125
84,196040.85653406254,237059.4426386436,7537.153076436484,194790.85653406254,125
85,196040.85653406254,237042.13803354703,7613.872258324757,194790.85653406254,125
86,196040.85653406254,237059.20480614924,7355.524164335521,194790.85653406254,125
87,196040.85653406254,237056.01644793942,7654.557390034064,194790.85653406254,125
88,195761.428904165,237546.59083350588,7294.59151887011,194511.428904165,125
89,195761.428904165,237334.89356987723,7207.237245370988,194511.428904165,125
90,195761.428904165,237284.54479025342,7077.805743643523,194511.428904165,125
91,195761.428904165,237153.17383376925,7312.560747577874,194511.428904165,125
92,195129.65531973797,236684.29318786674,7725.647868954908,193889.65531973797,124
93,195129.65531973797,236987.43799131215,7583.798705855805,193889.65531973797,124
94,195129.65531973797,237393.52690925234,7052.364720142951,193889.65531973797,124
95,195129.65531973797,237209.6657406558,7201.269140462082,193889.65531973797,124
96,195129.65531973797,237446.42177333104,7005.944470569871,193889.65531973797,124
97,195129.65531973797,236881.79441597007,7213.460088172151,193889.65531973797,124
98,195129.65531973797,237340.55766211057,6913.563783901287,193889.65531973797,124
99,195129.65531973797,237591.15708299686,7608.220491498123,193889.65531973797,124
100,195129.65531973797,237002.63440443933,7382.696870559595,193889.65531973797,124
101,195129.65531973797,237535.6399393344,7216.856927297698,193889.65531973797,124
102,195129.65531973797,237202.65360185265,7485.445211042038,193889.65531973797,124
103,195129.65531973797,236842.4440774832,7708.567392386924,193889.65531973797,124
104,195129.65531973797,237041.6507551089,7073.241169149124,193889.65531973797,124
105,195129.65531973797,236807.78440664933,6912.649350004454,193889.65531973797,124
106,195114.44773298153,237497.4471914015,7287.319323370104,193874.44773298153,124
107,195104.63491859607,236759.3526260025,7894.255870571314,193854.63491859607,125
108,195104.63491859607,236966.05901588584,7015.564123284438,193854.63491859607,125
109,194290.54980516667,236738.7127194127,7882.165874584809,193040.54980516667,125
110,194290.54980516667,236811.58847176319,8335.980024274306,193040.54980516667,125
111,194290.54980516667,237324.4308843947,8016.277355521444,193040.54980516667,125
112,194254.2727331929,236627.67207846677,8057.48286330026,193004.2727331929,125
113,193717.96813152888,236825.72408133265,8458.648647256534,192467.96813152888,125
114,193717.96813152888,236341.0753266744,8354.860333197006,192467.96813152888,125
115,193717.96813152888,237130.6343204077,8104.7793476997995,192467.96813152888,125
116,193717.96813152888,237704.02222580617,7540.008678985932,192467.96813152888,125
117,193624.29189111787,237178.64451203743,8179.762429309919,192374.29189111787,125
118,193624.29189111787,236795.95165035242,7765.827855962854,192374.29189111787,125
119,193624.29189111787,237761.63547146492,7386.548764717796,192374.29189111787,125
120,193624.29189111787,236591.643235189,7845.012686319911,192374.29189111787,125
